ZipCode,Income,Income Change,Population,Density,White Percentage
73134,52855,1.10457,718633,661.449,59.3
90270,64251,1.03872,9818605,1628.93,27.8
77079,60146,1.04857,4092459,1703.04,33
76153,64874,1.05202,1809034,1414.12,51.8
72716,64141,1.14061,221339,159.753,76.6
76531,47500,1.04393,8517,7.34738,88
88046,39164,0.958198,209233,38.9272,30.1
60081,84803,0.994437,308760,275.959,83.7
89005,56802,0.905533,1951269,157.751,48
85356,44058,0.979522,195751,24.9729,35.3
79855,33417,0.844237,2398,0.45531,21
93660,51261,0.990179,930450,99.6912,32.7
72057,51920,0.902615,17853,18.7936,94.1
79953,44597,1.10085,800647,586.128,13.1
76654,48199,1.06284,234906,160.669,58.9
80530,70908,1.14387,252825,36.3197,67.6
77411,60146,1.04857,4092459,1703.04,33
91386,64251,1.03872,9818605,1628.93,27.8
78661,52278,1.12723,38066,51.9824,44.2
77833,56237,1.16863,33718,40.2077,66.4
79412,50473,1.06356,278831,214.082,57.3
84403,64636,1.0718,231236,189.879,78.1
89139,56802,0.905533,1951269,157.751,48
62919,43081,1.40103,4320,15.6901,96.6
97486,45812,1.03465,107667,11.2456,89.5
75024,94192,1.04935,782341,616.319,63.1
98208,82751,1.1194,713335,149.922,74.3
77880,56237,1.16863,33718,40.2077,66.4
84136,71230,1.10136,1029655,730.283,74
99631,66684,1.04094,55400,0.83472,82.8
80818,49423,1.06511,5467,1.2756,79.5
95920,47395,0.98683,28122,12.5536,55.9
89024,43266,0.975332,200186,9.76684,79.6
70740,47797,1.01545,33387,37.2002,47.9
98331,54471,1.06091,29872,7.16379,89.3
99627,40000,1.06414,5588,0.00649341,21.8
95815,63902,1.01545,1418788,879.781,48.4
76707,48199,1.06284,234906,160.669,58.9
92002,74855,1.06446,3095313,509.33,48.5
84091,71230,1.10136,1029655,730.283,74
62525,50444,1.0204,110768,111.983,78.4
92602,85398,1.03021,3010232,2621.98,44.1
70525,41177,0.991118,61773,68.7662,78.6
97329,52097,1.01946,116672,25.5484,87.1
84036,100453,1.13379,36324,10.9854,85.4
90042,64251,1.03872,9818605,1628.93,27.8
91362,84017,1.00005,823318,299.262,48.7
67021,54029,1.11182,9656,8.22648,91.3
62663,53973,0.978656,5355,12.1733,98
61640,54770,0.987418,186494,168.608,72.7
76558,51440,0.973836,75388,51.7976,62
60530,57901,1.07066,36031,27.8007,88.3
62915,49053,1.08415,66357,93.0915,91.5
70075,46011,1.05269,35897,47.3848,68.5
95050,116178,1.19972,1781642,867.333,35.2
82222,39359,0.770514,2484,0.50489,95
72321,37237,0.999683,46480,33.3228,60.5
78504,38398,1.08026,774769,390.322,7.8
78240,55456,1.05714,1714773,1031.61,30.3
65072,37727,0.922059,20565,20.1702,95.2
62870,46102,1.06089,39437,41.4016,92.4
69143,56794,1.12738,36288,8.00133,90.2
73755,50391,1.09108,11943,8.34188,62.9
87199,51643,0.975476,662564,377.758,41.5
75132,94767,1.0892,78337,370.328,74.1
97149,47500,1.08091,25250,10.9954,86.7
92085,74855,1.06446,3095313,509.33,48.5
93218,47518,0.97186,442179,59.3195,32.6
62414,44432,0.9656,22140,18.538,93
76106,64874,1.05202,1809034,1414.12,51.8
77288,60146,1.04857,4092459,1703.04,33
94614,92574,1.19662,1510271,1290.13,34.1
60647,62088,1.0323,5194675,2999.99,43.9
68360,67591,1.08488,16750,16.6251,96.4
67354,47668,1.09482,21607,20.9971,85.5
84637,60445,1.21565,12503,1.10461,84.7
90806,64251,1.03872,9818605,1628.93,27.8
79123,43157,1.05276,121073,87.061,49
94559,84753,1.12795,136484,100.851,56.4
68135,61688,1.06646,517110,873.762,71.9
60055,62088,1.0323,5194675,2999.99,43.9
60439,62088,1.0323,5194675,2999.99,43.9
95026,116178,1.19972,1781642,867.333,35.2
79920,44597,1.10085,800647,586.128,13.1
92844,85398,1.03021,3010232,2621.98,44.1
80906,65334,1.04136,622263,177.516,72
84340,59937,0.974973,49975,4.17355,88.3
85244,61606,1.0036,3817117,288.05,58.7
94154,,,,,
64725,67659,1.00971,99478,86.4147,89.5
59405,48160,1.01896,81327,13.8546,87.4
59871,48930,1.02054,40212,8.10914,93.9
62964,33799,0.972412,6161,17.9569,63.9
96148,84357,1.01625,348432,138.952,76.1
85374,61606,1.0036,3817117,288.05,58.7
80498,77589,1.01217,27994,26.3812,82.7
95830,63902,1.01545,1418788,879.781,48.4
76541,54184,0.999538,310235,208.295,50.7
58464,60613,1.32376,3343,2.36447,97.9
64141,52805,1.02393,674158,661.245,63.3
75631,51569,1.01377,23796,20.6266,73.6
65722,46192,1.11084,35571,28.814,94.4
66780,40174,1.0211,39134,41.3331,89
77459,95561,1.07339,585375,494.248,36.2
67581,49174,1.06447,64511,31.3965,86.1
91225,64251,1.03872,9818605,1628.93,27.8
78622,52278,1.12723,38066,51.9824,44.2
68164,61688,1.06646,517110,873.762,71.9
72319,37237,0.999683,46480,33.3228,60.5
84624,60445,1.21565,12503,1.10461,84.7
58640,70500,1.29814,3536,0.781281,84.4
97383,56097,1.09208,315335,133.873,68.7
64127,52805,1.02393,674158,661.245,63.3
60643,62088,1.0323,5194675,2999.99,43.9
92227,45834,1.0626,174528,27.3086,13.7
76880,41827,1.17614,4936,4.78031,81.5
72812,41914,0.943526,61754,48.4914,86.9
62313,51549,1.07876,19104,13.5748,97.4
95112,116178,1.19972,1781642,867.333,35.2
92651,85398,1.03021,3010232,2621.98,44.1
77571,60146,1.04857,4092459,1703.04,33
97409,49958,1.04385,351715,39.367,84.7
64857,46929,1.1107,117404,115.441,86
72369,29263,0.959206,21757,21.1536,34.6
94802,93712,1.07223,1049025,834.374,47.8
62970,33799,0.972412,6161,17.9569,63.9
77237,60146,1.04857,4092459,1703.04,33
82301,60206,0.95459,15885,1.11132,79.8
81410,44512,0.9869,30952,16.3592,83
60107,62088,1.0323,5194675,2999.99,43.9
95993,56955,1.00268,94737,96.3213,50.4
97876,48617,1.03417,25748,6.2078,90.9
77426,56237,1.16863,33718,40.2077,66.4
59812,51270,1.07217,109299,19.2533,91
63824,42231,1.00422,39191,59.704,84.9
99758,40000,1.06414,5588,0.00649341,21.8
64475,43349,1.00666,23370,15.5022,93.6
70044,46011,1.05269,35897,47.3848,68.5
65446,38036,0.988611,24696,20.6059,96.4
94060,113776,1.1914,718451,958.361,42.3
58831,80732,1.49351,6360,1.00329,74.6
91521,64251,1.03872,9818605,1628.93,27.8
84749,44694,0.811193,2778,0.695181,93.4
82081,64220,1.09035,91738,19.2581,80.8
67428,57765,0.977015,29180,19.8806,93.1
83723,63137,1.01415,392365,194.074,86.5
77068,60146,1.04857,4092459,1703.04,33
96801,,,,,
70544,45274,0.971794,73240,87.9692,60.8
60038,62088,1.0323,5194675,2999.99,43.9
99066,54852,1.04116,471221,120.052,86.7
66998,44143,1.1047,9533,7.89327,94.8
65635,39979,1.09603,7883,9.8076,94.8
68344,54828,1.03538,15740,14.6969,92.1
77451,95561,1.07339,585375,494.248,36.2
58761,68182,1.23328,2470,1.20601,97.2
75470,43562,1.02773,49793,37.5605,76.1
97371,58344,1.02651,75403,50.8031,80.5
61938,44071,1.08417,53873,63.6883,91.6
68303,50734,1.16196,5228,5.29823,97.1
89019,56802,0.905533,1951269,157.751,48
81138,30593,1.12505,3524,1.81062,30.8
98368,54471,1.06091,29872,7.16379,89.3
76067,45979,1.00345,28111,20.1231,78.1
62866,47617,1.03753,38827,40.9713,87.4
58230,65848,1.33639,1975,1.26148,97
68465,51143,1.00878,14200,14.2224,76.2
74943,39375,0.942357,12769,14.028,73.3
61630,54770,0.987418,186494,168.608,72.7
95193,116178,1.19972,1781642,867.333,35.2
58343,44313,1.30393,6660,2.06122,43
75568,45345,1.11849,30464,22.2795,77.2
72530,43391,1.08846,25970,28.9438,95.9
78932,56297,1.1109,24554,19.0131,73.5
61043,59707,0.960811,53497,38.1828,88.6
89114,56802,0.905533,1951269,157.751,48
74542,38821,1.11668,14182,9.7358,72.8
65069,45862,1.04478,12236,13.6159,95.1
98290,82751,1.1194,713335,149.922,74.3
64683,42574,1.08354,10261,13.6798,96
60941,57981,1.03005,113449,94.4546,73.4
77032,60146,1.04857,4092459,1703.04,33
71415,32174,0.771066,10132,13.4556,79.4
92507,63948,0.992807,2189641,206.948,39.7
65587,51665,1.07372,52274,58.9869,72.4
63636,37188,1.1191,10630,11.829,95.6
84123,71230,1.10136,1029655,730.283,74
93761,51261,0.990179,930450,99.6912,32.7
90033,64251,1.03872,9818605,1628.93,27.8
88101,46182,1.08739,48376,23.2205,50.7
70755,44269,0.964207,22802,29.1219,60.3
97131,47500,1.08091,25250,10.9954,86.7
58401,57642,1.1586,21100,4.27646,94.8
67445,44143,1.1047,9533,7.89327,94.8
75440,49872,1.05265,10914,30.5407,87.5
60946,51120,0.942066,14081,16.6724,96
92650,85398,1.03021,3010232,2621.98,44.1
67526,50198,1.02874,27674,18.804,83.4
89710,52034,0.896293,55274,210.983,70.7
66736,46208,1.05448,9409,10.2762,94.2
71834,41903,0.932373,43462,47.8908,70.6
99760,40000,1.06414,5588,0.00649341,21.8
72465,38528,1.14086,17415,18.8494,96.7
76831,52178,1.11502,19301,14.6399,89.6
93257,47518,0.97186,442179,59.3195,32.6
62715,60466,1.03824,197465,132.1,82.5
74462,39375,0.942357,12769,14.028,73.3
79413,50473,1.06356,278831,214.082,57.3
64111,52805,1.02393,674158,661.245,63.3
72115,50093,0.995688,382748,311.618,55.3
78579,38398,1.08026,774769,390.322,7.8
99660,,,,,
64855,46929,1.1107,117404,115.441,86
99614,54212,0.93118,17013,0.0949621,10.9
71403,47772,1.00683,52334,28.9075,72.2
